context,question,answer
"Lead poisoning | Lead poisoning is a type of metal poisoning caused by lead in the body. The brain is the most sensitive. Symptoms may include abdominal pain, constipation, headaches, irritability, memory problems, inability to have children, and tingling in the hands and feet. It causes almost 10% of intellectual disability of otherwise unknown cause and can result in behavioral problems. Some of the effects are permanent. In severe cases anemia, seizures, coma, or death may occur.",What is the primary organ affected by lead poisoning?,Brain
"Animal lead poisoning | Animal lead poisoning (also known as avian plumbism, or avian saturnism for birds) is a veterinary condition and pathology caused by increased levels of the heavy metal lead in animal's body.",What is the primary condition caused by lead poisoning in birds?,Avian plumbism
"Hydraulic fracturing | Hydraulic fracturing (also fracking, fraccing, frac'ing, hydrofracturing or hydrofracking) is a well stimulation technique in which rock is fractured by a pressurized liquid. The process involves the high-pressure injection of 'fracking fluid' (primarily water, containing sand or other proppants suspended with the aid of thickening agents) into a wellbore to create cracks in the deep-rock formations through which natural gas, petroleum, and brine will flow more freely. When the hydraulic pressure is removed from the well, small grains of hydraulic fracturing proppants (either sand or aluminium oxide) hold the fractures open.",What type of pollution is commonly associated with hydraulic fracturing?,Water contamination
"Hydraulic fracturing proppants | A proppant is a solid material, typically sand, treated sand or man-made ceramic materials, designed to keep an induced hydraulic fracture open, during or following a fracturing treatment. It is added to a ""fracking fluid"" which may vary in composition depending on the type of fracturing used, and can be gel, foam or slickwater–based. In addition, there may be unconventional fracking fluids. Fluids make tradeoffs in such material properties as viscosity, where more viscous fluids can carry more concentrated proppant; the energy or pressure demands to maintain a certain flux pump rate (flow velocity) that will conduct the proppant appropriately; pH, various rheological factors, among others. In addition, fluids may be used in low-volume well stimulation of high-permeability sandstone wells (20k to 80k gallons per well) to the high-volume operations such as shale gas and tight gas that use millions of gallons of water per well.",What is the main environmental concern with hydraulic fracturing?,Water contamination
"Oil spill | An oil spill is the release of a liquid petroleum hydrocarbon into the environment, especially marine areas, due to human activity, and is a form of pollution. The term is usually applied to marine oil spills, where oil is released into the ocean or coastal waters, but spills may also occur on land. Oil spills may be due to releases of crude oil from tankers, offshore platforms, drilling rigs and wells, as well as spills of refined petroleum products (such as gasoline, diesel) and their by-products, heavier fuels used by large ships such as bunker fuel, or the spill of any oily refuse or waste oil.",What is the name of the famous oil spill that occurred in 1989 off the coast of Alaska?,Exxon Valdez
"Bioremediation of oil spills | The spilling of petroleum into our natural waterways is a major issue, and petroleum causes both acute and long term issues. Oil is harvested and processed in so many ways, there is a lot of room for error. These spills can be caused by tankers, refineries, drilling operations, or even storage facilities. Regardless of how petroleum is released into nature, spills account for high percentages of marine death and complicate vegetative life. When oil leaks into an ecosystem, it alters the balance of both the habitat and the organisms that live there. These organisms experience altered growth and reproduction patterns, anatomical complications, and increased susceptibility to hypothermia. The water resistant properties of birds and mammals are compromised due to matting of fur and exposed skin.",What common source causes oil spills in oceans?,Tankers
"Nitrate in the Mississippi River Basin | The increase in pollution of the Mississippi River has greatly affected the species that live in the water, as well as those who rely on the river for food and recreational purposes. One of the main types of pollution is an excess of nitrate (formula_1) caused by chemical wastes from power plants and agricultural runoffs. The watershed covers about 40% of the lower 48 states, with 7 of the 10 top agricultural producing states being within this watershed.",What is the primary source of nitrate pollution in the Mississippi River Basin?,Agricultural runoff
"Nitrate vulnerable zone | A nitrate vulnerable zone is a conservation designation of the Environment Agency for areas of land that drain into nitrate polluted waters, or waters which could become polluted by nitrates. Nitrate vulnerable zones were introduced by the UK government in response to the EU mandate that all EU countries must reduce the nitrate in drinking water to a maximum of 50 mg/l.",What is the maximum nitrate level allowed in drinking water according to EU regulations?,50 mg/l
Microbead | Microbeads are manufactured solid plastic particles of less than one millimeter in their largest dimension. They are most frequently made of polyethylene but can be of other petrochemical plastics such as polypropylene and polystyrene.,What are tiny plastic particles used in personal care products called?,Microbeads
"Plastic particle water pollution | Plastic particle water pollution is marine debris consisting of plastic particles, including microbeads from cosmetics, the breakdown products of plastic litter, and nurdles, which are plastic pellets normally used to produce plastic products but found outside of manufacturing. Plastic particle water pollution has also been referred to as mermaids' tears.","What are small plastic pellets used in manufacturing, often found in marine environments?",Nurdles
"Mutagen X | Mutagen X (MX), or 3-chloro-4-(dichloromethyl)-5-hydroxy-5""H""-furan-2-one, is a byproduct of the disinfection of water by chlorination. MX is produced by reaction of chlorine with natural humic acids.",What harmful byproduct is produced from the chlorination of water?,Mutagen X
"Polychlorinated naphthalene | Polychlorinated naphthalene (PCN) are the products obtained upon treatment of naphthalene with chlorine. The generic chemical formula is CHCl. Commercial PCNs are mixtures of up to 75 components and byproducts. The material is an oil or a waxy solid, depending on the degree of chlorination. PCNs were once used in insulating coatings for electrical wires, as well as other applications, but their use has been largely phased out.",What are the products obtained from the chlorination of naphthalene?,Polychlorinated naphthalene
"Arsenic contamination of groundwater | Arsenic contamination of groundwater is a form of groundwater pollution which is often due to naturally occurring high concentrations of arsenic in deeper levels of groundwater. It is a high-profile problem due to the use of deep tubewells for water supply in the Ganges Delta, causing serious arsenic poisoning to large numbers of people. A 2007 study found that over 137 million people in more than 70 countries are probably affected by arsenic poisoning of drinking water. The problem became serious health concern after mass poisoning of water in Bangladesh. Arsenic contamination of ground water is found in many countries throughout the world, including the US.","What toxic element is commonly found in groundwater pollution, especially in the Ganges Delta?",Arsenic
"S.M. Ullah | Shah Mohammad Ullah (Bengali: শাহ মোঃ উললাহ ) is a Bangladeshi-Austrian soil scientist and environmentalist, who primarily researches arsenic contamination in the air and water.",What contaminant is S.M. Ullah primarily known for researching?,Arsenic
"Radioactive waste | Radioactive waste is waste that contains radioactive material. Radioactive waste is usually a by-product of nuclear power generation and other applications of nuclear fission or nuclear technology, such as research and medicine. Radioactive waste is hazardous to all forms of life and the environment, and is regulated by government agencies in order to protect human health and the environment.",What is the primary source of radioactive waste?,Nuclear power
"High-level radioactive waste management | High-level radioactive waste management concerns how radioactive materials created during production of nuclear power and nuclear weapons are dealt with. Radioactive waste contains a mixture of short-lived and long-lived nuclides, as well as non-radioactive nuclides. There was reported some 47,000 tonnes of high-level nuclear waste stored in the USA in 2002.",How many tonnes of high-level nuclear waste were reported stored in the USA in 2002?,"47,000 tonnes"
Methylmercury | Methylmercury (sometimes methyl mercury) is an organometallic cation with the formula [CHHg] . It is the major source of organic mercury for all humans. It is a bioaccumulative environmental toxicant.,What is the major source of organic mercury for humans?,Methylmercury
"Mercury cycle | The mercury cycle is a biogeochemical cycle involving mercury. Mercury is notable for being the only metal which is liquid at room temperature. It is a volatile metal and evaporates, though it takes quite a while to do so.",What is the only metal that is liquid at room temperature?,Mercury
