context,question,answer
"Lead poisoning | Lead poisoning is a type of metal poisoning caused by lead in the body. The brain is the most sensitive. Symptoms may include abdominal pain, constipation, headaches, irritability, memory problems, inability to have children, and tingling in the hands and feet. It causes almost 10% of intellectual disability of otherwise unknown cause and can result in behavioral problems. Some of the effects are permanent. In severe cases anemia, seizures, coma, or death may occur.",What percentage of intellectual disability is caused by lead poisoning?,10%
"Animal lead poisoning | Animal lead poisoning (also known as avian plumbism, or avian saturnism for birds) is a veterinary condition and pathology caused by increased levels of the heavy metal lead in animal's body.",What is the name of the giant sea turtle that is often found with plastic waste in its digestive system?,Sea Turtles
"Lead poisoning epidemics | Lead poisoning epidemics refer to instances of mass lead poisoning, and usually occur unintentionally in low income countries. Lead recycling is a common cause of a poisoning epidemic, and it is commonplace and sometimes the only means of providing sustenance in poorer countries. The lack of immediate and obvious health effects often result in people taking excessive risks and few precautions when handling lead. These events can also cause disproportionate childhood fatalities, when levels of toxins become fatal in lower concentrations in children compared with adults.",,"Here is a simple trivia question on the topic of pollution issues:

---

Topic: Plastic pollution

Reasoning: Let's think step by step in order to identify the **main source** of plastic pollution in our oceans. We know that plastic waste is a significant problem, and it's estimated that over 8 million tons of plastic waste enter the world's oceans every year."
"Hydraulic fracturing | Hydraulic fracturing (also fracking, fraccing, frac'ing, hydrofracturing or hydrofracking) is a well stimulation technique in which rock is fractured by a pressurized liquid. The process involves the high-pressure injection of 'fracking fluid' (primarily water, containing sand or other proppants suspended with the aid of thickening agents) into a wellbore to create cracks in the deep-rock formations through which natural gas, petroleum, and brine will flow more freely. When the hydraulic pressure is removed from the well, small grains of hydraulic fracturing proppants (either sand or aluminium oxide) hold the fractures open.",What is the primary component of fracking fluid?,Water
"Hydraulic fracturing proppants | A proppant is a solid material, typically sand, treated sand or man-made ceramic materials, designed to keep an induced hydraulic fracture open, during or following a fracturing treatment. It is added to a ""fracking fluid"" which may vary in composition depending on the type of fracturing used, and can be gel, foam or slickwater–based. In addition, there may be unconventional fracking fluids. Fluids make tradeoffs in such material properties as viscosity, where more viscous fluids can carry more concentrated proppant; the energy or pressure demands to maintain a certain flux pump rate (flow velocity) that will conduct the proppant appropriately; pH, various rheological factors, among others. In addition, fluids may be used in low-volume well stimulation of high-permeability sandstone wells (20k to 80k gallons per well) to the high-volume operations such as shale gas and tight gas that use millions of gallons of water per well.",What percentage of plastic waste in the world's oceans comes from just 10 rivers?,85
"Hydraulic fracturing and radionuclides | Hydraulic fracturing is the propagation of fractures in a rock layer by pressurized fluid. Induced hydraulic fracturing or hydrofracking, commonly known as fracking, is a technique used to release petroleum, natural gas (including shale gas, tight gas and coal seam gas), or other substances for extraction. Radionuclides are associated with hydraulic fracturing in two main ways. Injection of man-made radioactive tracers, along with the other substances in hydraulic-fracturing fluid, is often used to determine the injection profile and location of fractures created by hydraulic fracturing. In addition, hydraulic fracturing releases naturally occurring heavy metals and radioactive materials from shale deposits, and these substances return to the surface with flowback, also referred to as wastewater.",,"Here is a simple trivia question on pollution issues:

---

Topic: Plastic Pollution

Reasoning: Let's think step by step in order to understand the impact of plastic on our oceans. We know that plastic waste is a major problem, and it's estimated that over 8 million tons of plastic waste enter the world's oceans every year.

Question: What percentage of plastic waste"
"Oil spill | An oil spill is the release of a liquid petroleum hydrocarbon into the environment, especially marine areas, due to human activity, and is a form of pollution. The term is usually applied to marine oil spills, where oil is released into the ocean or coastal waters, but spills may also occur on land. Oil spills may be due to releases of crude oil from tankers, offshore platforms, drilling rigs and wells, as well as spills of refined petroleum products (such as gasoline, diesel) and their by-products, heavier fuels used by large ships such as bunker fuel, or the spill of any oily refuse or waste oil.",,"Here is a simple trivia question on the topic of oil spill:

Topic: Oil spill

Reasoning: Let's think step by step in order to identify the **most common location** where oil spills occur. We know that oil spills can happen in various places, but which one is the most affected?

Question: Where do most oil spills typically occur?

Answer: Ocean"
"Bioremediation of oil spills | The spilling of petroleum into our natural waterways is a major issue, and petroleum causes both acute and long term issues. Oil is harvested and processed in so many ways, there is a lot of room for error. These spills can be caused by tankers, refineries, drilling operations, or even storage facilities. Regardless of how petroleum is released into nature, spills account for high percentages of marine death and complicate vegetative life. When oil leaks into an ecosystem, it alters the balance of both the habitat and the organisms that live there. These organisms experience altered growth and reproduction patterns, anatomical complications, and increased susceptibility to hypothermia. The water resistant properties of birds and mammals are compromised due to matting of fur and exposed skin.",What is compromised due to matting of fur and exposed skin?,Susceptibility
"Deepwater Horizon oil spill | The ""Deepwater Horizon"" oil spill (also referred to as the BP oil spill, the BP oil disaster, the Gulf of Mexico oil spill, and the Macondo blowout) began on April 20, 2010, in the Gulf of Mexico on the BP-operated Macondo Prospect. Killing eleven people, it is considered the largest marine oil spill in the history of the petroleum industry and estimated to be 8% to 31% larger in volume than the previous largest, the Ixtoc I oil spill. The US Government estimated the total discharge at 4.9 Moilbbl . After several failed efforts to contain the flow, the well was declared sealed on September 19, 2010. Reports in early 2012 indicated that the well site was still leaking.",How many million barrels of oil were discharged during the Deepwater Horizon oil spill?,4.9
"Nitrate in the Mississippi River Basin | The increase in pollution of the Mississippi River has greatly affected the species that live in the water, as well as those who rely on the river for food and recreational purposes. One of the main types of pollution is an excess of nitrate (formula_1) caused by chemical wastes from power plants and agricultural runoffs. The watershed covers about 40% of the lower 48 states, with 7 of the 10 top agricultural producing states being within this watershed.",What is the formula for the main type of nitrate pollution in the Mississippi River Basin?,NO3
